FID	IID	SEX
HG03045	HG03045	1
HG03046	HG03046	2
HG03048	HG03048	1
HG03049	HG03049	2
HG03052	HG03052	2
HG03054	HG03054	1
HG03055	HG03055	2
HG03057	HG03057	1
HG03058	HG03058	2
HG03060	HG03060	1
HG03061	HG03061	2
HG03063	HG03063	1
HG03064	HG03064	2
HG03066	HG03066	1
HG03069	HG03069	1
HG03072	HG03072	1
HG03073	HG03073	2
HG03074	HG03074	1
HG03077	HG03077	1
HG03078	HG03078	1
HG03079	HG03079	2
HG03081	HG03081	1
HG03082	HG03082	2
HG03084	HG03084	1
HG03085	HG03085	2
HG03086	HG03086	2
HG03088	HG03088	2
HG03091	HG03091	2
HG03095	HG03095	2
HG03096	HG03096	1
HG03097	HG03097	2
HG03099	HG03099	2
HG03100	HG03100	1
HG03103	HG03103	1
HG03105	HG03105	2
HG03108	HG03108	2
HG03109	HG03109	1
HG03111	HG03111	2
HG03112	HG03112	1
HG03114	HG03114	2
HG03115	HG03115	1
HG03117	HG03117	2
HG03118	HG03118	1
HG03120	HG03120	1
HG03121	HG03121	2
HG03123	HG03123	2
HG03124	HG03124	1
HG03126	HG03126	2
HG03127	HG03127	1
HG03129	HG03129	2
HG03130	HG03130	1
HG03132	HG03132	2
HG03133	HG03133	1
HG03135	HG03135	2
HG03136	HG03136	1
HG03139	HG03139	1
HG03157	HG03157	1
HG03159	HG03159	2
HG03160	HG03160	1
HG03162	HG03162	2
HG03163	HG03163	1
HG03166	HG03166	1
HG03168	HG03168	2
HG03169	HG03169	1
HG03172	HG03172	1
HG03175	HG03175	1
HG03189	HG03189	2
HG03190	HG03190	1
HG03193	HG03193	1
HG03195	HG03195	2
HG03196	HG03196	1
HG03198	HG03198	2
HG03199	HG03199	1
HG03202	HG03202	1
HG03209	HG03209	1
HG03212	HG03212	2
HG03224	HG03224	1
HG03225	HG03225	1
HG03228	HG03228	1
HG03229	HG03229	2
HG03234	HG03234	1
HG03235	HG03235	2
HG03237	HG03237	1
HG03238	HG03238	2
HG03240	HG03240	1
HG03241	HG03241	2
HG03246	HG03246	1
HG03247	HG03247	2
HG03258	HG03258	1
HG03259	HG03259	2
HG03265	HG03265	1
HG03267	HG03267	2
HG03268	HG03268	1
HG03270	HG03270	2
HG03271	HG03271	1
HG03279	HG03279	2
HG03280	HG03280	1
HG03291	HG03291	2
HG03294	HG03294	2
HG03295	HG03295	1
HG03297	HG03297	2
HG03298	HG03298	1
HG03300	HG03300	2
HG03301	HG03301	1
HG03303	HG03303	2
HG03304	HG03304	1
HG03311	HG03311	1
HG03313	HG03313	1
HG03342	HG03342	2
HG03343	HG03343	1
HG03351	HG03351	2
HG03352	HG03352	1
HG03354	HG03354	2
HG03363	HG03363	2
HG03366	HG03366	2
HG03367	HG03367	1
HG03369	HG03369	2
HG03370	HG03370	1
HG03372	HG03372	2
HG03376	HG03376	1
HG03378	HG03378	2
HG03380	HG03380	2
HG03382	HG03382	1
HG03385	HG03385	1
HG03388	HG03388	1
HG03391	HG03391	1
HG03394	HG03394	1
HG03397	HG03397	1
HG03401	HG03401	2
HG03410	HG03410	2
HG03419	HG03419	2
HG03428	HG03428	2
HG03432	HG03432	1
HG03433	HG03433	1
HG03436	HG03436	1
HG03437	HG03437	2
HG03439	HG03439	1
HG03442	HG03442	1
HG03445	HG03445	1
HG03446	HG03446	2
HG03449	HG03449	2
HG03451	HG03451	1
HG03452	HG03452	2
HG03455	HG03455	2
HG03457	HG03457	1
HG03458	HG03458	2
HG03460	HG03460	1
HG03461	HG03461	2
HG03464	HG03464	2
HG03469	HG03469	1
HG03470	HG03470	2
HG03472	HG03472	1
HG03473	HG03473	2
HG03476	HG03476	2
HG03478	HG03478	1
HG03479	HG03479	2
HG03484	HG03484	1
HG03485	HG03485	2
HG03488	HG03488	2
HG03490	HG03490	1
HG03491	HG03491	2
HG03499	HG03499	2
HG03511	HG03511	2
HG03514	HG03514	2
HG03515	HG03515	1
HG03517	HG03517	2
HG03518	HG03518	1
HG03520	HG03520	2
HG03521	HG03521	1
HG03538	HG03538	1
HG03539	HG03539	2
HG03547	HG03547	1
HG03548	HG03548	2
HG03556	HG03556	1
HG03557	HG03557	2
HG03558	HG03558	2
HG03559	HG03559	1
HG03563	HG03563	2
HG03565	HG03565	1
HG03567	HG03567	2
HG03571	HG03571	1
HG03572	HG03572	2
HG03575	HG03575	2
HG03577	HG03577	1
HG03578	HG03578	2
HG03583	HG03583	2
HG03585	HG03585	1
HG03589	HG03589	2
HG03593	HG03593	1
HG03594	HG03594	1
HG03595	HG03595	2
HG03598	HG03598	2
HG03600	HG03600	1
HG03603	HG03603	1
HG03604	HG03604	2
HG03607	HG03607	2
HG03611	HG03611	2
HG03615	HG03615	1
HG03616	HG03616	2
HG03619	HG03619	2
HG03624	HG03624	1
HG03625	HG03625	2
HG03629	HG03629	1
HG03631	HG03631	2
HG03634	HG03634	2
HG03636	HG03636	1
HG03640	HG03640	2
HG03642	HG03642	2
HG03643	HG03643	2
HG03644	HG03644	1
HG03645	HG03645	2
HG03646	HG03646	1
HG03649	HG03649	1
HG03652	HG03652	1
HG03653	HG03653	2
HG03660	HG03660	1
HG03663	HG03663	1
HG03667	HG03667	1
HG03668	HG03668	2
HG03672	HG03672	1
HG03673	HG03673	2
HG03679	HG03679	1
HG03680	HG03680	1
HG03681	HG03681	1
HG03684	HG03684	2
HG03685	HG03685	1
HG03686	HG03686	1
HG03687	HG03687	1
HG03689	HG03689	2
HG03690	HG03690	2
HG03691	HG03691	1
HG03692	HG03692	2
HG03693	HG03693	1
HG03694	HG03694	1
HG03695	HG03695	1
HG03696	HG03696	1
HG03697	HG03697	1
HG03698	HG03698	2
HG03702	HG03702	1
HG03703	HG03703	2
HG03705	HG03705	1
HG03706	HG03706	2
HG03708	HG03708	1
HG03709	HG03709	2
HG03711	HG03711	1
HG03713	HG03713	1
HG03714	HG03714	2
HG03716	HG03716	1
HG03717	HG03717	2
HG03718	HG03718	1
HG03720	HG03720	1
HG03722	HG03722	2
HG03727	HG03727	1
HG03729	HG03729	1
HG03730	HG03730	2
HG03731	HG03731	2
HG03733	HG03733	2
HG03736	HG03736	2
HG03738	HG03738	1
HG03740	HG03740	1
HG03741	HG03741	2
HG03742	HG03742	1
HG03743	HG03743	1
HG03744	HG03744	1
HG03745	HG03745	1
HG03746	HG03746	1
HG03750	HG03750	1
HG03752	HG03752	2
HG03753	HG03753	1
HG03754	HG03754	2
HG03755	HG03755	1
HG03756	HG03756	2
HG03757	HG03757	2
HG03760	HG03760	2
HG03762	HG03762	2
HG03765	HG03765	2
HG03767	HG03767	1
HG03770	HG03770	2
HG03771	HG03771	1
HG03772	HG03772	2
HG03773	HG03773	1
HG03774	HG03774	2
HG03775	HG03775	1
HG03777	HG03777	1
HG03778	HG03778	1
HG03779	HG03779	1
HG03780	HG03780	2
HG03781	HG03781	2
HG03782	HG03782	2
HG03784	HG03784	2
HG03785	HG03785	1
HG03786	HG03786	1
HG03787	HG03787	2
HG03788	HG03788	1
HG03789	HG03789	2
HG03790	HG03790	1
HG03792	HG03792	1
HG03793	HG03793	2
HG03796	HG03796	2
HG03800	HG03800	1
HG03802	HG03802	2
HG03803	HG03803	1
HG03805	HG03805	2
HG03808	HG03808	2
HG03809	HG03809	1
HG03812	HG03812	1
HG03814	HG03814	2
HG03815	HG03815	1
HG03817	HG03817	2
HG03821	HG03821	1
HG03823	HG03823	2
HG03824	HG03824	1
HG03826	HG03826	2
HG03829	HG03829	2
HG03830	HG03830	1
HG03832	HG03832	2
HG03833	HG03833	1
HG03836	HG03836	2
HG03837	HG03837	1
HG03838	HG03838	2
HG03844	HG03844	1
HG03846	HG03846	1
HG03848	HG03848	1
HG03849	HG03849	2
HG03850	HG03850	1
HG03851	HG03851	1
HG03854	HG03854	1
HG03856	HG03856	1
HG03857	HG03857	2
HG03858	HG03858	2
HG03861	HG03861	2
HG03862	HG03862	2
HG03863	HG03863	2
HG03864	HG03864	1
HG03866	HG03866	1
HG03867	HG03867	1
HG03868	HG03868	2
HG03869	HG03869	1
HG03870	HG03870	1
HG03871	HG03871	1
HG03872	HG03872	1
HG03873	HG03873	2
HG03874	HG03874	2
HG03875	HG03875	1
HG03882	HG03882	2
HG03884	HG03884	2
HG03885	HG03885	1
HG03886	HG03886	2
HG03887	HG03887	1
HG03888	HG03888	2
HG03890	HG03890	1
HG03894	HG03894	2
HG03895	HG03895	2
HG03896	HG03896	1
HG03897	HG03897	2
HG03898	HG03898	2
HG03899	HG03899	1
HG03900	HG03900	1
HG03902	HG03902	1
HG03905	HG03905	1
HG03907	HG03907	2
HG03908	HG03908	1
HG03910	HG03910	2
HG03911	HG03911	1
HG03913	HG03913	2
HG03914	HG03914	1
HG03916	HG03916	2
HG03917	HG03917	1
HG03919	HG03919	2
HG03920	HG03920	1
HG03922	HG03922	2
HG03925	HG03925	2
HG03926	HG03926	1
HG03928	HG03928	2
HG03931	HG03931	2
HG03934	HG03934	2
HG03937	HG03937	2
HG03940	HG03940	2
HG03941	HG03941	1
HG03943	HG03943	1
HG03944	HG03944	2
HG03945	HG03945	2
HG03947	HG03947	2
HG03949	HG03949	2
HG03950	HG03950	1
HG03951	HG03951	2
HG03953	HG03953	1
HG03955	HG03955	2
HG03960	HG03960	1
HG03963	HG03963	1
HG03965	HG03965	1
HG03967	HG03967	1
HG03968	HG03968	2
HG03969	HG03969	1
HG03971	HG03971	1
HG03973	HG03973	2
HG03974	HG03974	1
HG03976	HG03976	1
HG03977	HG03977	2
HG03978	HG03978	1
HG03985	HG03985	1
HG03986	HG03986	2
HG03989	HG03989	2
HG03990	HG03990	1
HG03991	HG03991	1
HG03995	HG03995	2
HG03998	HG03998	1
HG03999	HG03999	1
HG04001	HG04001	2
HG04002	HG04002	1
HG04003	HG04003	1
HG04006	HG04006	1
HG04014	HG04014	2
HG04015	HG04015	1
HG04017	HG04017	1
HG04018	HG04018	2
HG04019	HG04019	1
HG04020	HG04020	1
HG04022	HG04022	1
HG04023	HG04023	1
HG04025	HG04025	2
HG04026	HG04026	2
HG04029	HG04029	2
HG04033	HG04033	1
HG04035	HG04035	2
HG04038	HG04038	2
HG04039	HG04039	1
HG04042	HG04042	2
HG04047	HG04047	2
HG04054	HG04054	2
HG04056	HG04056	1
HG04059	HG04059	2
HG04060	HG04060	1
HG04061	HG04061	1
HG04062	HG04062	2
HG04063	HG04063	2
HG04070	HG04070	2
HG04075	HG04075	2
HG04076	HG04076	2
HG04080	HG04080	1
HG04090	HG04090	2
HG04093	HG04093	1
HG04094	HG04094	1
HG04096	HG04096	1
HG04098	HG04098	1
HG04099	HG04099	2
HG04100	HG04100	1
HG04106	HG04106	2
HG04107	HG04107	1
HG04118	HG04118	2
HG04131	HG04131	1
HG04134	HG04134	1
HG04140	HG04140	1
HG04141	HG04141	2
HG04144	HG04144	2
HG04146	HG04146	1
HG04152	HG04152	1
HG04153	HG04153	2
HG04155	HG04155	1
HG04156	HG04156	2
HG04158	HG04158	1
HG04159	HG04159	2
HG04161	HG04161	1
HG04162	HG04162	2
HG04164	HG04164	1
HG04171	HG04171	2
HG04173	HG04173	1
HG04176	HG04176	1
HG04177	HG04177	2
HG04180	HG04180	2
HG04182	HG04182	1
HG04183	HG04183	2
HG04185	HG04185	1
HG04186	HG04186	2
HG04188	HG04188	1
HG04189	HG04189	2
HG04194	HG04194	1
HG04195	HG04195	2
HG04198	HG04198	1
HG04200	HG04200	2
HG04202	HG04202	2
HG04206	HG04206	1
HG04209	HG04209	2
HG04210	HG04210	1
HG04211	HG04211	1
HG04212	HG04212	2
HG04214	HG04214	2
HG04216	HG04216	2
HG04219	HG04219	1
HG04222	HG04222	1
HG04225	HG04225	1
HG04227	HG04227	2
HG04229	HG04229	1
HG04235	HG04235	1
HG04238	HG04238	1
HG04239	HG04239	1
NA06984	NA06984	1
NA06985	NA06985	2
NA06986	NA06986	1
NA06989	NA06989	2
NA06994	NA06994	1
NA07000	NA07000	2
NA07037	NA07037	2
NA07048	NA07048	1
NA07051	NA07051	1
NA07056	NA07056	2
NA07347	NA07347	1
NA07357	NA07357	1
NA10847	NA10847	2
NA10851	NA10851	1
NA11829	NA11829	1
NA11830	NA11830	2
NA11831	NA11831	1
NA11832	NA11832	2
NA11840	NA11840	2
NA11843	NA11843	1
NA11881	NA11881	1
NA11892	NA11892	2
NA11893	NA11893	1
NA11894	NA11894	2
NA11918	NA11918	2
NA11919	NA11919	1
NA11920	NA11920	2
NA11930	NA11930	1
NA11931	NA11931	2
NA11932	NA11932	1
NA11933	NA11933	2
NA11992	NA11992	1
NA11994	NA11994	1
NA11995	NA11995	2
NA12003	NA12003	1
NA12004	NA12004	2
NA12005	NA12005	1
NA12006	NA12006	2
NA12043	NA12043	1
NA12044	NA12044	2
NA12045	NA12045	1
NA12046	NA12046	2
NA12058	NA12058	2
NA12144	NA12144	1
NA12154	NA12154	1
NA12155	NA12155	1
NA12156	NA12156	2
NA12234	NA12234	2
NA12249	NA12249	2
NA12272	NA12272	1
NA12273	NA12273	2
NA12275	NA12275	2
NA12282	NA12282	1
NA12283	NA12283	2
NA12286	NA12286	1
NA12287	NA12287	2
NA12340	NA12340	1
NA12341	NA12341	2
NA12342	NA12342	1
NA12347	NA12347	1
NA12348	NA12348	2
NA12383	NA12383	2
NA12399	NA12399	1
NA12400	NA12400	2
NA12413	NA12413	1
NA12414	NA12414	2
NA12489	NA12489	2
NA12546	NA12546	1
NA12716	NA12716	1
NA12717	NA12717	2
NA12718	NA12718	2
NA12748	NA12748	1
NA12749	NA12749	2
NA12750	NA12750	1
NA12751	NA12751	2
NA12760	NA12760	1
NA12761	NA12761	2
NA12762	NA12762	1
NA12763	NA12763	2
NA12775	NA12775	1
NA12776	NA12776	2
NA12777	NA12777	1
NA12778	NA12778	2
NA12812	NA12812	1
NA12813	NA12813	2
NA12814	NA12814	1
NA12815	NA12815	2
NA12827	NA12827	1
NA12828	NA12828	2
NA12829	NA12829	1
NA12830	NA12830	2
NA12842	NA12842	1
NA12843	NA12843	2
NA12872	NA12872	1
NA12873	NA12873	2
NA12874	NA12874	1
NA12878	NA12878	2
NA12889	NA12889	1
NA12890	NA12890	2
NA18486	NA18486	1
NA18488	NA18488	2
NA18489	NA18489	2
NA18498	NA18498	1
NA18499	NA18499	2
NA18501	NA18501	1
NA18502	NA18502	2
NA18504	NA18504	1
NA18505	NA18505	2
NA18507	NA18507	1
NA18508	NA18508	2
NA18510	NA18510	1
NA18511	NA18511	2
NA18516	NA18516	1
NA18517	NA18517	2
NA18519	NA18519	1
NA18520	NA18520	2
NA18522	NA18522	1
NA18523	NA18523	2
NA18525	NA18525	2
NA18526	NA18526	2
NA18528	NA18528	2
NA18530	NA18530	1
NA18531	NA18531	2
NA18532	NA18532	2
NA18533	NA18533	2
NA18534	NA18534	1
NA18535	NA18535	2
NA18536	NA18536	1
NA18537	NA18537	2
NA18538	NA18538	2
NA18539	NA18539	2
NA18541	NA18541	2
NA18542	NA18542	2
NA18543	NA18543	1
NA18544	NA18544	1
NA18545	NA18545	2
NA18546	NA18546	1
NA18547	NA18547	2
NA18548	NA18548	1
NA18549	NA18549	1
NA18550	NA18550	2
NA18552	NA18552	2
NA18553	NA18553	2
NA18555	NA18555	2
NA18557	NA18557	1
NA18558	NA18558	1
NA18559	NA18559	1
NA18560	NA18560	2
NA18561	NA18561	1
NA18562	NA18562	1
NA18563	NA18563	1
NA18564	NA18564	2
NA18565	NA18565	2
NA18566	NA18566	2
NA18567	NA18567	2
NA18570	NA18570	2
NA18571	NA18571	2
NA18572	NA18572	1
NA18573	NA18573	2
NA18574	NA18574	2
NA18577	NA18577	2
NA18579	NA18579	2
NA18582	NA18582	2
NA18591	NA18591	2
NA18592	NA18592	2
NA18593	NA18593	2
NA18595	NA18595	2
NA18596	NA18596	2
NA18597	NA18597	2
NA18599	NA18599	2
NA18602	NA18602	2
NA18603	NA18603	1
NA18605	NA18605	1
NA18606	NA18606	1
NA18608	NA18608	1
NA18609	NA18609	1
NA18610	NA18610	2
NA18611	NA18611	1
NA18612	NA18612	1
NA18613	NA18613	1
NA18614	NA18614	2
NA18615	NA18615	2
NA18616	NA18616	2
NA18617	NA18617	2
NA18618	NA18618	2
NA18619	NA18619	2
NA18620	NA18620	1
NA18621	NA18621	1
NA18622	NA18622	1
NA18623	NA18623	1
NA18624	NA18624	1
NA18625	NA18625	2
NA18626	NA18626	2
NA18627	NA18627	2
NA18628	NA18628	2
NA18629	NA18629	1
NA18630	NA18630	2
NA18631	NA18631	2
NA18632	NA18632	1
NA18633	NA18633	1
NA18634	NA18634	2
NA18635	NA18635	1
NA18636	NA18636	1
NA18637	NA18637	1
NA18638	NA18638	1
NA18639	NA18639	1
NA18640	NA18640	2
NA18641	NA18641	2
NA18642	NA18642	2
NA18643	NA18643	1
NA18644	NA18644	2
NA18645	NA18645	1
NA18646	NA18646	2
NA18647	NA18647	1
NA18648	NA18648	1
NA18740	NA18740	1
NA18745	NA18745	1
NA18747	NA18747	1
NA18748	NA18748	1
NA18749	NA18749	1
NA18757	NA18757	1
NA18853	NA18853	1
NA18856	NA18856	1
NA18858	NA18858	2
NA18861	NA18861	2
NA18864	NA18864	2
NA18865	NA18865	1
NA18867	NA18867	2
NA18868	NA18868	1
NA18870	NA18870	2
NA18871	NA18871	1
NA18873	NA18873	2
NA18874	NA18874	1
NA18876	NA18876	2
NA18877	NA18877	1
NA18878	NA18878	2
NA18879	NA18879	1
NA18881	NA18881	2
NA18907	NA18907	2
NA18908	NA18908	1
NA18909	NA18909	2
NA18910	NA18910	1
NA18912	NA18912	2
NA18915	NA18915	1
NA18916	NA18916	2
NA18917	NA18917	1
NA18923	NA18923	1
NA18924	NA18924	2
NA18933	NA18933	2
NA18934	NA18934	1
NA18939	NA18939	2
NA18940	NA18940	1
NA18941	NA18941	2
NA18942	NA18942	2
NA18943	NA18943	1
NA18944	NA18944	1
NA18945	NA18945	1
NA18946	NA18946	2
NA18947	NA18947	2
NA18948	NA18948	1
NA18949	NA18949	2
NA18950	NA18950	2
NA18951	NA18951	2
NA18952	NA18952	1
NA18953	NA18953	1
NA18954	NA18954	2
NA18956	NA18956	2
NA18957	NA18957	2
NA18959	NA18959	1
NA18960	NA18960	1
NA18961	NA18961	1
NA18962	NA18962	1
NA18963	NA18963	2
NA18964	NA18964	2
NA18965	NA18965	1
NA18966	NA18966	1
NA18967	NA18967	1
NA18968	NA18968	2
NA18969	NA18969	2
NA18970	NA18970	1
NA18971	NA18971	1
NA18972	NA18972	2
NA18973	NA18973	2
NA18974	NA18974	1
NA18975	NA18975	2
NA18976	NA18976	2
NA18977	NA18977	1
NA18978	NA18978	2
NA18979	NA18979	2
NA18980	NA18980	2
NA18981	NA18981	2
NA18982	NA18982	1
NA18983	NA18983	1
NA18984	NA18984	1
NA18985	NA18985	1
NA18986	NA18986	1
NA18987	NA18987	2
NA18988	NA18988	1
NA18989	NA18989	1
NA18990	NA18990	1
NA18991	NA18991	2
NA18992	NA18992	2
NA18993	NA18993	2
NA18994	NA18994	1
NA18995	NA18995	1
NA18997	NA18997	2
NA18998	NA18998	2
NA18999	NA18999	2
NA19000	NA19000	1
NA19001	NA19001	2
NA19002	NA19002	2
NA19003	NA19003	2
NA19004	NA19004	1
NA19005	NA19005	1
NA19006	NA19006	1
NA19007	NA19007	1
NA19009	NA19009	1
NA19010	NA19010	2
NA19011	NA19011	2
NA19012	NA19012	1
NA19017	NA19017	2
NA19019	NA19019	2
NA19020	NA19020	1
NA19023	NA19023	2
NA19024	NA19024	2
NA19025	NA19025	1
NA19026	NA19026	1
NA19027	NA19027	1
NA19028	NA19028	1
NA19030	NA19030	2
NA19031	NA19031	1
NA19035	NA19035	1
NA19036	NA19036	2
NA19037	NA19037	2
NA19038	NA19038	2
NA19041	NA19041	1
NA19042	NA19042	2
NA19043	NA19043	1
NA19054	NA19054	2
NA19055	NA19055	1
NA19056	NA19056	1
NA19057	NA19057	2
NA19058	NA19058	1
NA19059	NA19059	2
NA19060	NA19060	1
NA19062	NA19062	1
NA19063	NA19063	1
NA19064	NA19064	2
NA19065	NA19065	2
NA19066	NA19066	1
NA19067	NA19067	1
NA19068	NA19068	1
NA19070	NA19070	1
NA19072	NA19072	1
NA19074	NA19074	2
NA19075	NA19075	1
NA19076	NA19076	1
NA19077	NA19077	2
NA19078	NA19078	2
NA19079	NA19079	1
NA19080	NA19080	2
NA19081	NA19081	2
NA19082	NA19082	1
NA19083	NA19083	1
NA19084	NA19084	2
NA19085	NA19085	1
NA19086	NA19086	1
NA19087	NA19087	2
NA19088	NA19088	1
NA19089	NA19089	1
NA19090	NA19090	2
NA19091	NA19091	1
NA19092	NA19092	1
NA19093	NA19093	2
NA19095	NA19095	2
NA19096	NA19096	1
NA19098	NA19098	1
NA19099	NA19099	2
NA19102	NA19102	2
NA19107	NA19107	1
NA19108	NA19108	2
NA19113	NA19113	1
NA19114	NA19114	2
NA19116	NA19116	2
NA19117	NA19117	1
NA19118	NA19118	2
NA19119	NA19119	1
NA19121	NA19121	1
NA19129	NA19129	2
NA19130	NA19130	1
NA19131	NA19131	2
NA19137	NA19137	2
NA19138	NA19138	1
NA19141	NA19141	1
NA19143	NA19143	2
NA19144	NA19144	1
NA19146	NA19146	1
NA19147	NA19147	2
NA19149	NA19149	2
NA19152	NA19152	2
NA19153	NA19153	1
NA19159	NA19159	2
NA19160	NA19160	1
NA19171	NA19171	1
NA19172	NA19172	2
NA19175	NA19175	1
NA19184	NA19184	1
NA19185	NA19185	2
NA19189	NA19189	1
NA19190	NA19190	2
NA19197	NA19197	2
NA19198	NA19198	1
NA19200	NA19200	1
NA19201	NA19201	2
NA19204	NA19204	2
NA19206	NA19206	2
NA19207	NA19207	1
NA19209	NA19209	2
NA19210	NA19210	1
NA19213	NA19213	1
NA19214	NA19214	2
NA19222	NA19222	2
NA19223	NA19223	1
NA19225	NA19225	2
NA19235	NA19235	2
NA19236	NA19236	1
NA19238	NA19238	2
NA19239	NA19239	1
NA19247	NA19247	2
NA19248	NA19248	1
NA19256	NA19256	1
NA19257	NA19257	2
NA19307	NA19307	1
NA19308	NA19308	1
NA19309	NA19309	1
NA19310	NA19310	2
NA19312	NA19312	1
NA19314	NA19314	2
NA19315	NA19315	2
NA19316	NA19316	2
NA19317	NA19317	1
NA19318	NA19318	1
NA19319	NA19319	1
NA19320	NA19320	2
NA19321	NA19321	2
NA19323	NA19323	2
NA19324	NA19324	2
NA19327	NA19327	2
NA19328	NA19328	2
NA19331	NA19331	1
NA19332	NA19332	2
NA19334	NA19334	1
NA19338	NA19338	2
NA19346	NA19346	1
NA19347	NA19347	1
NA19350	NA19350	1
NA19351	NA19351	2
NA19355	NA19355	2
NA19360	NA19360	1
NA19372	NA19372	1
NA19374	NA19374	1
NA19375	NA19375	1
NA19376	NA19376	1
NA19377	NA19377	2
NA19378	NA19378	2
NA19379	NA19379	2
NA19380	NA19380	1
NA19383	NA19383	1
NA19384	NA19384	1
NA19385	NA19385	1
NA19390	NA19390	2
NA19391	NA19391	2
NA19393	NA19393	1
NA19394	NA19394	1
NA19395	NA19395	2
NA19397	NA19397	1
NA19399	NA19399	2
NA19401	NA19401	2
NA19403	NA19403	2
NA19404	NA19404	2
NA19428	NA19428	1
NA19429	NA19429	1
NA19430	NA19430	1
NA19431	NA19431	2
NA19434	NA19434	2
NA19435	NA19435	2
NA19436	NA19436	2
NA19437	NA19437	2
NA19438	NA19438	2
NA19439	NA19439	2
NA19440	NA19440	2
NA19443	NA19443	1
NA19445	NA19445	2
NA19446	NA19446	2
NA19448	NA19448	1
NA19449	NA19449	2
NA19451	NA19451	1
NA19452	NA19452	1
NA19454	NA19454	1
NA19455	NA19455	1
NA19456	NA19456	2
NA19457	NA19457	2
NA19461	NA19461	1
NA19462	NA19462	2
NA19463	NA19463	2
NA19466	NA19466	1
NA19467	NA19467	2
NA19468	NA19468	2
NA19471	NA19471	2
NA19472	NA19472	2
NA19473	NA19473	2
NA19474	NA19474	2
NA19475	NA19475	2
NA19625	NA19625	2
NA19648	NA19648	2
NA19649	NA19649	1
NA19651	NA19651	2
NA19652	NA19652	1
NA19654	NA19654	2
NA19655	NA19655	1
NA19657	NA19657	2
NA19658	NA19658	1
NA19661	NA19661	1
NA19663	NA19663	2
NA19664	NA19664	1
NA19669	NA19669	2
NA19670	NA19670	1
NA19676	NA19676	1
NA19678	NA19678	2
NA19679	NA19679	1
NA19681	NA19681	2
NA19682	NA19682	1
NA19684	NA19684	2
NA19700	NA19700	1
NA19701	NA19701	2
NA19703	NA19703	1
NA19704	NA19704	2
NA19707	NA19707	2
NA19711	NA19711	1
NA19712	NA19712	2
NA19713	NA19713	2
NA19716	NA19716	2
NA19717	NA19717	1
NA19719	NA19719	2
NA19720	NA19720	1
NA19722	NA19722	2
NA19723	NA19723	1
NA19725	NA19725	2
NA19726	NA19726	1
NA19728	NA19728	2
NA19729	NA19729	1
NA19731	NA19731	2
NA19732	NA19732	1
NA19734	NA19734	2
NA19735	NA19735	1
NA19740	NA19740	2
NA19741	NA19741	1
NA19746	NA19746	2
NA19747	NA19747	1
NA19749	NA19749	2
NA19750	NA19750	1
NA19752	NA19752	2
NA19755	NA19755	2
NA19756	NA19756	1
NA19758	NA19758	2
NA19759	NA19759	1
NA19761	NA19761	2
NA19762	NA19762	1
NA19764	NA19764	2
NA19770	NA19770	2
NA19771	NA19771	1
NA19773	NA19773	2
NA19774	NA19774	1
NA19776	NA19776	2
NA19777	NA19777	1
NA19779	NA19779	2
NA19780	NA19780	1
NA19782	NA19782	2
NA19783	NA19783	1
NA19785	NA19785	2
NA19786	NA19786	1
NA19788	NA19788	2
NA19789	NA19789	1
NA19792	NA19792	1
NA19794	NA19794	2
NA19795	NA19795	1
NA19818	NA19818	1
NA19819	NA19819	2
NA19834	NA19834	1
NA19835	NA19835	2
NA19900	NA19900	1
NA19901	NA19901	2
NA19904	NA19904	1
NA19908	NA19908	1
NA19909	NA19909	2
NA19913	NA19913	2
NA19914	NA19914	2
NA19916	NA19916	1
NA19917	NA19917	2
NA19920	NA19920	1
NA19921	NA19921	2
NA19922	NA19922	1
NA19923	NA19923	2
NA19982	NA19982	1
NA19984	NA19984	1
NA20126	NA20126	1
NA20127	NA20127	2
NA20274	NA20274	2
NA20276	NA20276	2
NA20278	NA20278	1
NA20281	NA20281	1
NA20282	NA20282	2
NA20287	NA20287	2
NA20289	NA20289	2
NA20291	NA20291	1
NA20294	NA20294	2
NA20296	NA20296	2
NA20298	NA20298	1
NA20299	NA20299	2
NA20314	NA20314	2
NA20317	NA20317	2
NA20318	NA20318	1
NA20320	NA20320	2
NA20321	NA20321	2
NA20332	NA20332	2
NA20334	NA20334	2
NA20339	NA20339	2
NA20340	NA20340	1
NA20342	NA20342	1
NA20346	NA20346	1
NA20348	NA20348	1
NA20351	NA20351	1
NA20355	NA20355	2
NA20356	NA20356	1
NA20357	NA20357	2
NA20359	NA20359	2
NA20362	NA20362	1
NA20412	NA20412	2
NA20502	NA20502	2
NA20503	NA20503	2
NA20504	NA20504	2
NA20505	NA20505	2
NA20506	NA20506	2
NA20507	NA20507	2
NA20508	NA20508	2
NA20509	NA20509	1
NA20510	NA20510	1
NA20511	NA20511	1
NA20512	NA20512	1
NA20513	NA20513	1
NA20514	NA20514	2
NA20515	NA20515	1
NA20516	NA20516	1
NA20517	NA20517	2
NA20518	NA20518	1
NA20519	NA20519	1
NA20520	NA20520	1
NA20521	NA20521	1
NA20522	NA20522	2
NA20524	NA20524	1
NA20525	NA20525	1
NA20527	NA20527	1
NA20528	NA20528	1
NA20529	NA20529	2
NA20530	NA20530	2
NA20531	NA20531	2
NA20532	NA20532	1
NA20533	NA20533	2
NA20534	NA20534	1
