FID	IID	SEX
HG00637	HG00637	1
HG00638	HG00638	2
HG00640	HG00640	1
HG00641	HG00641	2
HG00650	HG00650	1
HG00651	HG00651	2
HG00653	HG00653	1
HG00654	HG00654	2
HG00656	HG00656	1
HG00657	HG00657	2
HG00662	HG00662	1
HG00663	HG00663	2
HG00671	HG00671	1
HG00672	HG00672	2
HG00674	HG00674	1
HG00675	HG00675	2
HG00683	HG00683	1
HG00684	HG00684	2
HG00689	HG00689	1
HG00690	HG00690	2
HG00692	HG00692	1
HG00693	HG00693	2
HG00698	HG00698	1
HG00699	HG00699	2
HG00701	HG00701	1
HG00704	HG00704	1
HG00705	HG00705	2
HG00707	HG00707	1
HG00708	HG00708	2
HG00717	HG00717	2
HG00728	HG00728	1
HG00729	HG00729	2
HG00731	HG00731	1
HG00732	HG00732	2
HG00734	HG00734	2
HG00736	HG00736	1
HG00737	HG00737	2
HG00739	HG00739	1
HG00740	HG00740	2
HG00742	HG00742	1
HG00743	HG00743	2
HG00759	HG00759	2
HG00766	HG00766	2
HG00844	HG00844	1
HG00851	HG00851	2
HG00864	HG00864	2
HG00867	HG00867	2
HG00879	HG00879	2
HG00881	HG00881	1
HG00956	HG00956	2
HG00978	HG00978	2
HG00982	HG00982	1
HG01028	HG01028	1
HG01029	HG01029	2
HG01031	HG01031	1
HG01046	HG01046	2
HG01047	HG01047	1
HG01048	HG01048	1
HG01049	HG01049	2
HG01051	HG01051	1
HG01052	HG01052	2
HG01054	HG01054	1
HG01055	HG01055	2
HG01058	HG01058	2
HG01060	HG01060	1
HG01061	HG01061	2
HG01063	HG01063	1
HG01064	HG01064	2
HG01066	HG01066	1
HG01067	HG01067	2
HG01069	HG01069	1
HG01070	HG01070	2
HG01072	HG01072	1
HG01073	HG01073	2
HG01075	HG01075	1
HG01077	HG01077	2
HG01079	HG01079	1
HG01080	HG01080	2
HG01082	HG01082	1
HG01083	HG01083	2
HG01085	HG01085	1
HG01086	HG01086	2
HG01088	HG01088	1
HG01089	HG01089	2
HG01092	HG01092	2
HG01094	HG01094	1
HG01095	HG01095	2
HG01097	HG01097	1
HG01098	HG01098	2
HG01101	HG01101	1
HG01102	HG01102	2
HG01104	HG01104	1
HG01105	HG01105	2
HG01107	HG01107	1
HG01108	HG01108	2
HG01110	HG01110	1
HG01111	HG01111	2
HG01112	HG01112	1
HG01113	HG01113	2
HG01119	HG01119	2
HG01121	HG01121	1
HG01122	HG01122	2
HG01124	HG01124	1
HG01125	HG01125	2
HG01130	HG01130	1
HG01131	HG01131	2
HG01133	HG01133	1
HG01134	HG01134	2
HG01136	HG01136	1
HG01137	HG01137	2
HG01139	HG01139	1
HG01140	HG01140	2
HG01142	HG01142	1
HG01148	HG01148	1
HG01149	HG01149	2
HG01161	HG01161	1
HG01162	HG01162	2
HG01164	HG01164	1
HG01167	HG01167	1
HG01168	HG01168	2
HG01170	HG01170	1
HG01171	HG01171	2
HG01173	HG01173	1
HG01174	HG01174	2
HG01176	HG01176	1
HG01177	HG01177	2
HG01182	HG01182	1
HG01183	HG01183	2
HG01187	HG01187	1
HG01188	HG01188	2
HG01190	HG01190	1
HG01191	HG01191	2
HG01197	HG01197	1
HG01198	HG01198	2
HG01200	HG01200	1
HG01204	HG01204	1
HG01205	HG01205	2
HG01241	HG01241	1
HG01242	HG01242	2
HG01247	HG01247	1
HG01248	HG01248	2
HG01250	HG01250	1
HG01251	HG01251	2
HG01253	HG01253	1
HG01254	HG01254	2
HG01256	HG01256	1
HG01257	HG01257	2
HG01259	HG01259	1
HG01260	HG01260	2
HG01269	HG01269	2
HG01271	HG01271	1
HG01272	HG01272	2
HG01275	HG01275	2
HG01277	HG01277	1
HG01280	HG01280	1
HG01281	HG01281	2
HG01284	HG01284	2
HG01286	HG01286	1
HG01302	HG01302	1
HG01303	HG01303	2
HG01305	HG01305	1
HG01308	HG01308	1
HG01311	HG01311	1
HG01312	HG01312	2
HG01323	HG01323	2
HG01325	HG01325	1
HG01326	HG01326	2
HG01334	HG01334	1
HG01341	HG01341	1
HG01342	HG01342	2
HG01344	HG01344	1
HG01345	HG01345	2
HG01348	HG01348	2
HG01350	HG01350	1
HG01351	HG01351	2
HG01353	HG01353	1
HG01354	HG01354	2
HG01356	HG01356	1
HG01357	HG01357	2
HG01359	HG01359	1
HG01360	HG01360	2
HG01362	HG01362	1
HG01363	HG01363	2
HG01365	HG01365	1
HG01366	HG01366	2
HG01369	HG01369	2
HG01372	HG01372	2
HG01374	HG01374	1
HG01375	HG01375	2
HG01377	HG01377	1
HG01378	HG01378	2
HG01383	HG01383	1
HG01384	HG01384	2
HG01389	HG01389	1
HG01390	HG01390	2
HG01392	HG01392	1
HG01393	HG01393	2
HG01395	HG01395	1
HG01396	HG01396	2
HG01398	HG01398	1
HG01402	HG01402	1
HG01403	HG01403	2
HG01405	HG01405	1
HG01412	HG01412	1
HG01413	HG01413	1
HG01414	HG01414	2
HG01431	HG01431	1
HG01432	HG01432	2
HG01435	HG01435	2
HG01437	HG01437	1
HG01438	HG01438	2
